rk,player,team,str
586,Rachana Bhat,University of New Mexico,11.26
587,Jessika Mozia,University of Minnesota,11.22
588,Stephanie N'tcha,Samford University,11.18
589,Julia O'Loughlin,University of Denver,11.16
590,Alex Bourguignon,Gonzaga University,11.15
591,Emily Newton,University of South Alabama,11.15
592,Riko Shimizu,University of Washington,11.07
593,Rachael Morales,Marshall University,11.02
594,Andjela Djokovic,Purdue University,10.94
595,Andrea LeBlanc,Morehead State University,10.91
596,Miki kobayashi,University of Washington,10.70
597,Charlotte Phillips,University of Houston,10.64
598,Courtney Earnest,Ball State University,10.62
599,Erin Patton,Murray State University,10.51
600,Jane Marushko,Southern Utah University,10.42
601,Lyn Yuen Choo,West Virginia University,10.41
602,Kristina Vozniak,Stony Brook University,10.37
603,Sarah Dalton,Boston College,10.35
604,Caroline Joyce,Princeton University,10.31
605,Georgina Sellyn,Vanderbilt University,10.16
606,Samantha Budai,Iowa State University,10.16
607,Zoe Douglas,University of Iowa,10.10
